PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Chase Daniel,DET,QB,0,0,0,6000,4900,23,1,1,1,1,0,0,19.25,#7979E4,16.5,#ADADEE,22.75,#5555DE
Chris Thompson,JAC,RB,0,0,0,4700,4000,10,1,1,1,1,0,0,11.25,#C2C2F3,7.5,#F1F1FC,15,#9D9DEB
Christian McCaffrey,CAR,RB,0,0,0,10000,9400,38,1,1,1,1,0,0,23.25,#5555DE,28.25,#5555DE,14.75,#9F9FEC
Dalton Keene,NE,TE,0,0,0,4000,2500,10,1,1,1,1,0,0,8.75,#D9D9F7,3.75,#FFE0A9,11.5,#BEBEF2
David Blough,DET,QB,0,0,0,6000,4000,20,1,1,1,1,0,0,16.75,#9090E9,16.5,#ADADEE,22.75,#5555DE
David Johnson,HOU,RB,0,0,0,6200,5100,10,1,1,1,1,0,0,13.5,#AEAEEE,11.5,#D3D3F6,15,#9D9DEB
DeSean Jackson,PHI,WR,0,0,0,4500,3000,10,1,1,1,1,0,0,9,#D7D7F7,6.25,#FAFAFE,13.75,#A9A9ED
Drew Brees,NO,QB,0,0,0,8200,6600,35,1,1,1,1,0,0,22.5,#5B5BDF,24,#7575E4,22.75,#5555DE
Dwayne Haskins,WSH,QB,0,0,0,6500,4900,20,1,1,1,1,0,0,19.25,#7979E4,18,#A2A2EC,22.75,#5555DE
Jarrett Stidham,NE,QB,0,0,0,6300,4800,20,1,1,1,1,0,0,19.25,#7979E4,17.75,#A4A4EC,22.75,#5555DE
Josh McCown,HOU,QB,0,0,0,6000,4000,20,1,1,1,1,0,0,16.75,#9090E9,16.5,#ADADEE,22.75,#5555DE
Joshua Dobbs,PIT,QB,0,0,0,6000,,,1,1,1,1,0,0,,,16.5,#ADADEE,,
Julian Edelman,NE,WR,0,0,0,5500,4300,17,1,1,1,1,0,0,11.75,#BEBEF2,9,#E6E6FA,13.75,#A9A9ED
Mason Rudolph,PIT,QB,0,0,0,6000,4200,20,1,1,1,1,0,0,18,#8585E7,16.5,#ADADEE,22.75,#5555DE
Matt Schaub,ATL,QB,0,0,0,6000,4500,20,1,1,1,1,0,0,18.5,#8080E6,16.5,#ADADEE,22.75,#5555DE
Mike Glennon,JAC,QB,0,0,0,6200,4600,20,1,1,1,1,0,0,18.75,#7E7EE5,16.75,#ABABEE,22.75,#5555DE
Nate Sudfeld,PHI,QB,0,0,0,6000,4000,20,1,1,1,1,0,0,16.75,#9090E9,16.5,#ADADEE,22.75,#5555DE
Robert Griffin III,BAL,QB,0,0,0,6000,4400,20,1,1,1,1,0,0,18,#8585E7,16.5,#ADADEE,22.75,#5555DE
Ryan Finley,CIN,QB,0,0,0,6000,4300,20,1,1,1,1,0,0,18,#8585E7,16.5,#ADADEE,22.75,#5555DE
Trace McSorley,BAL,QB,0,0,0,6000,4000,20,1,1,1,1,0,0,16.75,#9090E9,16.5,#ADADEE,22.75,#5555DE
Will Grier,CAR,QB,0,0,0,6000,4600,20,1,1,1,1,0,0,18.75,#7E7EE5,16.5,#ADADEE,22.75,#5555DE
