shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
T. Bridgewater,592195,18260,QB,MIA,5000,15.5,NE @ MIA,2022-09-11T17:00:00.0000000Z
T. Davis-Price,1161729,640923,RB,SF,5000,,SF @ CHI,2022-09-11T17:00:00.0000000Z
T. Huntley,913163,485720,QB,BAL,5000,12.8,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
G. Edwards,739799,17079,RB,BAL,5000,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
M. Trubisky,728169,13158,QB,PIT,5000,1.3,PIT @ CIN,2022-09-11T17:00:00.0000000Z
S. Perine,820734,13936,RB,CIN,5000,4.9,PIT @ CIN,2022-09-11T17:00:00.0000000Z
C. Claypool,946094,477184,WR,PIT,5000,10.9,PIT @ CIN,2022-09-11T17:00:00.0000000Z
K. Osborn,881058,485601,WR,MIN,4900,9.3,GB @ MIN,2022-09-11T20:25:00.0000000Z
I. Spiller,1180332,631579,RB,LAC,4900,,LV @ LAC,2022-09-11T20:25:00.0000000Z
R. Burkhead,498760,17573,RB,HOU,4900,6.7,IND @ HOU,2022-09-11T17:00:00.0000000Z
M. Breida,750097,19435,RB,NYG,4900,4.9,NYG @ TEN,2022-09-11T20:25:00.0000000Z
S. Shepard,691278,19275,WR,NYG,4900,11.5,NYG @ TEN,2022-09-11T20:25:00.0000000Z
G. Minshew II,867303,20578,QB,PHI,4900,8.7,PHI @ DET,2022-09-11T17:00:00.0000000Z
T. Hockenson,923915,19265,TE,DET,4900,12.1,PHI @ DET,2022-09-11T17:00:00.0000000Z
D. Williams,822038,12101,RB,ARI,4900,10.4,KC @ ARI,2022-09-11T20:25:00.0000000Z
D. Johnson,839043,14618,RB,CLE,4900,6.5,CLE @ CAR,2022-09-11T17:00:00.0000000Z
C. Davis,732121,19864,WR,NYJ,4900,12.1,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
D. Pierce,1108998,641002,RB,HOU,4800,,IND @ HOU,2022-09-11T17:00:00.0000000Z
K. Golladay,697295,19245,WR,NYG,4800,6.6,NYG @ TEN,2022-09-11T20:25:00.0000000Z
