PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Jake Kumerow,BUF,WR,1.22,1.52,1.22,4500,3000,10,1,1,1,0,1,1,7,#E3E3F9,6.5,#E4E4FA,7.25,#DFDFF9
Geoff Swaim,TEN,TE,1.2,1.51,1.2,4300,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,5,#F4F4FD,5.5,#F1F1FC
Marcedes Lewis,GB,TE,1.23,1.5,1.23,4300,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,5,#F4F4FD,5.5,#F1F1FC
J.P. Holtz,CHI,TE,1.2,1.47,1.2,4000,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,4.25,#FCFCFE,5.5,#F1F1FC
Blake Bell,DAL,TE,1.13,1.41,1.13,4000,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,4.25,#FCFCFE,5.5,#F1F1FC
Donald Parham Jr.,LAC,TE,1.14,1.4,1.14,4200,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,5,#F4F4FD,5.5,#F1F1FC
Javon Wims,CHI,WR,1.1,1.38,1.1,4600,3000,10,1,1,1,1,1,1,7.25,#E0E0F9,7.25,#DCDCF8,7.5,#DDDDF8
Ray-Ray McCloud,PIT,WR,1.09,1.37,1.09,4600,,,1,1,0,1,1,1,,,7.25,#DCDCF8,,
Darrell Daniels,ARI,TE,1.05,1.29,1.05,4100,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,4.5,#F9F9FE,5.75,#EEEEFB
Hunter Bryant,DET,TE,1.03,1.27,1.03,,2500,10,1,1,1,1,1,1,7.5,#DEDEF8,,,5.75,#EEEEFB
Isaiah McKenzie,BUF,WR,0.93,1.19,0.93,4800,3000,10,1,1,1,0,1,1,7.25,#E0E0F9,7.5,#DADAF8,7.75,#DADAF8
Kerryon Johnson,DET,RB,1.02,1.19,1.02,4800,4000,10,1,1,1,1,1,1,10.25,#C2C2F3,9.5,#C4C4F3,10.5,#BEBEF2
Luke Stocker,ATL,TE,0.93,1.18,0.93,4000,2500,10,1,1,1,1,1,1,7.5,#DEDEF8,4.5,#F9F9FE,5.75,#EEEEFB
Michael Burton,NO,RB,0.9,1.09,0.9,4500,4000,10,1,1,1,1,1,1,10.5,#BFBFF2,8.5,#CFCFF5,10.75,#BBBBF1
Elijhaa Penny,NYG,RB,0.83,1.04,0.83,4500,4000,10,1,1,1,1,1,1,10.5,#BFBFF2,8.75,#CCCCF5,10.75,#BBBBF1
Ryan Griffin,NYJ,TE,0.8,1.02,0.8,4100,2500,10,1,1,1,1,1,1,7.75,#DBDBF8,4.75,#F7F7FD,6,#ECECFB
Tyler Johnson,TB,WR,0.81,1.02,0.81,4600,3000,10,1,1,1,1,1,1,7.5,#DEDEF8,7.5,#DADAF8,7.75,#DADAF8
DaeSean Hamilton,DEN,WR,0.77,0.98,0.77,4600,3000,10,1,1,1,1,1,1,7.5,#DEDEF8,7.5,#DADAF8,7.75,#DADAF8
D'Ernest Johnson,CLE,RB,0.81,0.96,0.81,4600,4000,10,1,1,1,1,1,0,10.5,#BFBFF2,8.75,#CCCCF5,10.75,#BBBBF1
Keith Smith,ATL,RB,0.76,0.95,0.76,4500,4000,10,1,1,1,1,1,1,10.5,#BFBFF2,8.75,#CCCCF5,10.75,#BBBBF1
Buddy Howell,HOU,RB,0.76,0.92,0.76,4600,4000,12,1,1,1,1,1,1,10.5,#BFBFF2,8.75,#CCCCF5,10.75,#BBBBF1
Jace Sternberger,GB,TE,0.75,0.91,0.75,4200,2700,10,1,1,1,1,1,1,8.75,#D1D1F6,5.25,#F1F1FC,6,#ECECFB
Trevon Wesco,NYJ,TE,0.76,0.9,0.76,4000,2500,10,1,1,1,1,1,1,7.75,#DBDBF8,4.75,#F7F7FD,6,#ECECFB
Mike Boone,MIN,RB,0.73,0.87,0.73,4600,4000,10,1,1,1,1,1,1,10.5,#BFBFF2,8.75,#CCCCF5,10.75,#BBBBF1
Gabe Nabers,LAC,RB,0.69,0.85,0.69,4500,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,8.75,#CCCCF5,11,#B9B9F1
C.J. Ham,MIN,RB,0.68,0.83,0.68,4500,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,8.75,#CCCCF5,11,#B9B9F1
Pharoh Cooper,CAR,WR,0.64,0.83,0.64,4700,3000,10,1,1,1,1,1,1,7.75,#DBDBF8,7.75,#D7D7F7,8,#D8D8F7
Derek Watt,PIT,RB,0.67,0.82,0.67,4500,4000,10,1,1,0,1,1,1,10.75,#BCBCF1,8.75,#CCCCF5,11,#B9B9F1
Alec Ingold,LV,RB,0.66,0.8,0.66,4500,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,8.75,#CCCCF5,11,#B9B9F1
Colby Parkinson,SEA,TE,0.64,0.79,0.64,,2500,10,1,1,1,1,1,1,7.75,#DBDBF8,,,6,#ECECFB
A.J. Dillon,GB,RB,0.7,0.78,0.7,5000,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,10.25,#BCBCF1,11,#B9B9F1
Anthony Sherman,KC,RB,0.64,0.78,0.64,4500,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,8.75,#CCCCF5,11,#B9B9F1
Jaeden Graham,ATL,TE,0.61,0.76,0.61,4000,2500,10,1,1,1,1,1,1,8,#D9D9F7,4.75,#F7F7FD,6,#ECECFB
Penny Hart,SEA,WR,0.58,0.74,0.58,4500,3000,10,1,1,1,1,1,1,7.75,#DBDBF8,7.25,#DCDCF8,8,#D8D8F7
Jesse James,DET,TE,0.58,0.73,0.58,4300,2500,10,1,1,1,1,1,1,8,#D9D9F7,5.5,#EFEFFC,6.25,#E9E9FA
Nick Bellore,SEA,RB,0.55,0.71,0.55,4500,4000,10,1,1,1,1,1,1,10.75,#BCBCF1,9,#CACAF4,11,#B9B9F1
Vance McDonald,PIT,TE,0.54,0.68,0.54,4200,3200,10,1,1,0,1,1,1,10.5,#BFBFF2,5.5,#EFEFFC,6.25,#E9E9FA
K.J. Hill,LAC,WR,0.54,0.66,0.54,4600,3000,10,1,1,1,1,1,1,8,#D9D9F7,7.75,#D7D7F7,8,#D8D8F7
Jacoby Brissett,IND,QB,0.6,0.63,0.6,6000,4100,20,1,1,1,1,1,1,18,#7373E3,17.75,#6D6DE2,18.5,#6C6CE2
